北京,22372,2699,16290,3382,37.3,16.6,20.8
天津,13959,1809,9776,2374,42.8,18.5,24.3
河北,76002,14113,50004,11885,52,28.2,23.8
山西,35655,5496,24995,5163,42.7,22,20.7
内蒙古,24595,3269,17714,3613,38.9,18.5,20.4
辽宁,42990,4478,29908,8605,43.7,15,28.8
吉林,24045,2591,17185,4269,39.9,15.1,24.8
黑龙江,31744,2941,23146,5657,37.1,12.7,24.4
上海,25347,2477,18138,4732,39.7,13.7,26.1
江苏,87223,12345,59292,15586,47.1,20.8,26.3
浙江,67369,8725,48598,10046,38.6,18,20.7
安徽,62763,11306,41545,9912,51.1,27.2,23.9
福建,42900,7884,29785,5231,44,26.5,17.6
江西,46380,9211,31125,6044,49,29.6,19.4
山东,104093,18582,68104,17407,52.8,27.3,25.6
河南,101113,21515,64886,14712,55.8,33.2,22.7
湖北,59860,9213,40894,9753,46.4,22.5,23.9
湖南,67649,12286,44460,10904,52.2,27.6,24.5
广东,129642,23941,93262,12440,39,25.7,13.3
广西,51699,11456,33453,6790,54.5,34.3,20.3
海南,10515,1997,7331,1187,43.4,27.2,16.2
重庆,32914,4795,22095,6024,49,21.7,27.3
四川,85772,12907,57319,15546,49.6,22.5,27.1
贵州,39500,9112,25599,4789,54.3,35.6,18.7
云南,48066,9011,33446,5608,43.7,26.9,16.8
西藏,3730,923,2587,220,44.2,35.7,8.5
陕西,40518,6806,27764,5948,45.9,24.5,21.4
甘肃,25529,4778,17322,3429,47.4,27.6,19.8
青海,6094,1236,4235,623,43.9,29.2,14.7
宁夏,7460,1462,5221,778,42.9,28,14.9
新疆,26497,5523,18751,2223,41.3,29.5,11.9